key,value
"Attenuated Influenza expressing ","an antigenic portion of the Spike protein "
"VLP ",""
"ARTES Biotechnology ",""
"VLP ",""
"Univ. of Sao Paulo ",""
"eVLP ",""
"VLPS peptides/whole virus ",""
"Pre-Clinical ",""
"SARS-CoV2 ",""
"SARS-CoV2 ",""
"Pre-Clinica ",""
